זוג
התפעל 	עבר 	ראשון	נקבה	רבים	ה_זדו_ג_גו
התפעל 	עבר 	שני 	זכר 	רבים	ה_זדו_ג_גתם
התפעל 	עבר 	שני 	נקבה	רבים	ה_זדו_ג_גתן
התפעל 	עבר 	שלישי	זכר 	רבים	ה_זדו_ג_גו
התפעל 	עבר 	שלישי	נקבה	רבים	ה_זדו_ג_גו
התפעל 	הווה	ראשון	זכר 	יחיד	מ_זדו_ג_ג
התפעל 	הווה	ראשון	נקבה	יחיד	מ_זדו_ג_גת
התפעל 	הווה	שני 	זכר 	יחיד	מ_זדו_ג_ג
התפעל 	הווה	שני 	נקבה	יחיד	מ_זדו_ג_גת
התפעל 	הווה	שלישי	זכר 	יחיד	מ_זדו_ג_ג
התפעל 	הווה	שלישי	נקבה	יחיד	מ_זדו_ג_גת
התפעל 	הווה	ראשון	זכר 	רבים	מ_זדו_ג_גים
התפעל 	הווה	ראשון	נקבה	רבים	מ_זדו_ג_גות
התפעל 	הווה	שני 	זכר 	רבים	מ_זדו_ג_גים
התפעל 	הווה	שני 	נקבה	רבים	מ_זדו_ג_גות
התפעל 	הווה	שלישי	זכר 	רבים	מ_זדו_ג_גים
התפעל 	הווה	שלישי	נקבה	רבים	מ_זדו_ג_גות
התפעל 	עתיד	ראשון	זכר 	יחיד	א_זדו_ג_ג
התפעל 	עתיד	ראשון	נקבה	יחיד	א_זדו_ג_ג
התפעל 	עתיד	שני 	זכר 	יחיד	ת_זדו_ג_ג
התפעל 	עתיד	שני 	נקבה	יחיד	ת_זדו_ג_גי
התפעל 	עתיד	שלישי	זכר 	יחיד	י_זדו_ג_ג
התפעל 	עתיד	שלישי	נקבה	יחיד	ת_זדו_ג_ג
התפעל 	עתיד	ראשון	זכר 	רבים	נ_זדו_ג_ג
התפעל 	עתיד	ראשון	נקבה	רבים	נ_זדו_ג_ג
התפעל 	עתיד	שני 	זכר 	רבים	_זדו_ג_גו
התפעל 	עתיד	שני 	נקבה	רבים	ת_זדו_ג_גנה
התפעל 	עתיד	שלישי	זכר 	רבים	י_זדו_ג_גו
התפעל 	עתיד	שלישי	נקבה	רבים	ת_זדו_ג_גנה
התפעל 	ציווי	שני 	זכר 	יחיד	ה_זדו_ג_ג
התפעל 	ציווי	שני 	נקבה	יחיד	ה_זדו_ג_גי
התפעל 	ציווי	שני 	זכר 	רבים	ה_זדו_ג_גו
התפעל 	ציווי	שני 	נקבה	רבים	ה_זדו_ג_גנה
